item	total	count part-1	specif part-1	count part-2	specif part-2
сістэмай	10	3	-1.65	7	1.65
міль	10	1	-3.26	9	3.26
ніжэй	10	4	-1.15	6	1.15
зарадцы	10	1	-3.26	9	3.26
запас	10	2	-2.34	8	2.34
ходу	10	1	-3.26	9	3.26
20	10	6	-0.62	4	0.62
ст	10	7	0.60	3	0.60
якую	10	4	-1.15	6	1.15
паменшыць	10	3	-1.65	7	1.65
ёмістасць	10	3	-1.65	7	1.65
8	10	2	-2.34	8	2.34
taycan	10	2	-2.34	8	2.34
другога	10	9	1.16	1	-1.16
батарэяй	10	1	-3.26	9	3.26
250	10	1	-3.26	9	3.26
павелічэнне	10	1	-3.26	9	3.26
semi	10	1	-3.26	9	3.26
рэспубліка	9	9	1.70	0	-1.70
нацыянальная	9	9	1.70	0	-1.70
напрыклад	9	7	0.67	2	-0.67
тэрыторыям	9	9	1.70	0	-1.70
зыходнік	9	7	0.67	2	-0.67
асобных	9	9	1.70	0	-1.70
гады	9	7	0.67	2	-0.67
нацыянальныя	9	9	1.70	0	-1.70
сістэма	9	6	0.57	3	0.57
рашэнні	9	3	-1.36	6	1.36
забеспячэння	9	4	-0.92	5	0.92
важна	9	7	0.67	2	-0.67
пункту	9	8	1.01	1	-1.01
гледжання	9	8	1.01	1	-1.01
атрымала	9	9	1.70	0	-1.70
вайны	9	9	1.70	0	-1.70
хаця	9	5	-0.65	4	0.65
чатыры	9	5	-0.65	4	0.65
органы	9	9	1.70	0	-1.70
верхняй	9	9	1.70	0	-1.70
ўсяго	9	7	0.67	2	-0.67
наколькі	9	3	-1.36	6	1.36
адна	9	5	-0.65	4	0.65
ніхто	9	7	0.67	2	-0.67
новая	9	4	-0.92	5	0.92
праўда	9	9	1.70	0	-1.70
частка	9	8	1.01	1	-1.01
культуры	9	8	1.01	1	-1.01
мадэль	9	3	-1.36	6	1.36
няма	9	6	0.57	3	0.57
гэтае	9	8	1.01	1	-1.01
яно	9	6	0.57	3	0.57
рашэнне	9	4	-0.92	5	0.92
палітычную	9	9	1.70	0	-1.70
палітычная	9	9	1.70	0	-1.70
добры	9	7	0.67	2	-0.67
валодаюць	9	9	1.70	0	-1.70
аўтаноміяў	9	9	1.70	0	-1.70
расейскай	9	9	1.70	0	-1.70
ўжо	9	6	0.57	3	0.57
працэнт	9	6	0.57	3	0.57
краін	9	9	1.70	0	-1.70
аан	9	9	1.70	0	-1.70
тып	9	4	-0.92	5	0.92
даволі	9	4	-0.92	5	0.92
раз	9	3	-1.36	6	1.36
ёсьць	9	4	-0.92	5	0.92
2023	9	8	1.01	1	-1.01
вялікая	9	3	-1.36	6	1.36
кожны	9	6	0.57	3	0.57
акадэмій	9	9	1.70	0	-1.70
электрычнага	9	5	-0.65	4	0.65
прапаноўваць	9	2	-1.99	7	1.99
электрамабілі	9	3	-1.36	6	1.36
