item	total	count part-1	specif part-1	count part-2	specif part-2
выключна	5	3	0.47	2	0.47
балонскага	5	5	0.95	0	-0.95
акадэмічнай	5	5	0.95	0	-0.95
хасані	5	5	0.95	0	-0.95
сябры	5	5	0.95	0	-0.95
месяц	5	5	0.95	0	-0.95
мог	5	4	0.51	1	-0.51
навуковых	5	5	0.95	0	-0.95
самакіравання	5	5	0.95	0	-0.95
справы	5	4	0.51	1	-0.51
членаў	5	5	0.95	0	-0.95
ставіць	5	1	-1.30	4	1.30
nikola	5	2	-0.73	3	0.73
motor	5	2	-0.73	3	0.73
страта	5	4	0.51	1	-0.51
працу	5	2	-0.73	3	0.73
прадукцыйнасці	5	1	-1.30	4	1.30
чакалася	5	1	-1.30	4	1.30
скарачэнне	5	3	0.47	2	0.47
сярэднім	5	4	0.51	1	-0.51
x	5	1	-1.30	4	1.30
існавалі	5	5	0.95	0	-0.95
наўрад	5	5	0.95	0	-0.95
іспаніі	5	4	0.51	1	-0.51
наконт	5	5	0.95	0	-0.95
нямецкая	5	2	-0.73	3	0.73
поўная	5	2	-0.73	3	0.73
ладу	5	5	0.95	0	-0.95
баскаў	5	5	0.95	0	-0.95
каталёніі	5	5	0.95	0	-0.95
40	5	3	0.47	2	0.47
хацелі	5	5	0.95	0	-0.95
ўплыў	5	5	0.95	0	-0.95
патэнцыял	5	5	0.95	0	-0.95
фінляндыі	5	5	0.95	0	-0.95
стаіць	5	4	0.51	1	-0.51
дадаць	5	4	0.51	1	-0.51
палітычныя	5	5	0.95	0	-0.95
фэдэральнай	5	5	0.95	0	-0.95
першым	5	3	0.47	2	0.47
становіцца	5	4	0.51	1	-0.51
энергія	5	4	0.51	1	-0.51
агульнай	5	1	-1.30	4	1.30
дасягае	5	2	-0.73	3	0.73
параўнанні	5	1	-1.30	4	1.30
ролік	5	1	-1.30	4	1.30
пакаленне	5	1	-1.30	4	1.30
рэальнай	5	1	-1.30	4	1.30
праца	5	4	0.51	1	-0.51
засталася	5	2	-0.73	3	0.73
максімальная	5	2	-0.73	3	0.73
конскіх	5	1	-1.30	4	1.30
палітычнае	5	4	0.51	1	-0.51
чыста	5	5	0.95	0	-0.95
мностве	5	5	0.95	0	-0.95
трактовак	5	5	0.95	0	-0.95
фактараў	5	2	-0.73	3	0.73
тэрытарыяльная	5	5	0.95	0	-0.95
рсфср	5	5	0.95	0	-0.95
вопыт	5	4	0.51	1	-0.51
рамках	5	5	0.95	0	-0.95
скажам	5	1	-1.30	4	1.30
спосаб	5	3	0.47	2	0.47
peugeot	5	3	0.47	2	0.47
пазадарожнік	5	2	-0.73	3	0.73
неабходнасці	5	3	0.47	2	0.47
самым	5	4	0.51	1	-0.51
вынікае	5	2	-0.73	3	0.73
знаходзіцца	5	1	-1.30	4	1.30
вільні	5	5	0.95	0	-0.95
з'езда	5	5	0.95	0	-0.95
сцвярджае	5	3	0.47	2	0.47
хутчэй	5	1	-1.30	4	1.30
ўзровень	5	3	0.47	2	0.47
вядомай	5	2	-0.73	3	0.73
поўным	5	1	-1.30	4	1.30
дазволіць	5	2	-0.73	3	0.73
esprinter	5	1	-1.30	4	1.30
даступны	5	1	-1.30	4	1.30
478	5	2	-0.73	3	0.73
эфектыўнасці	5	2	-0.73	3	0.73
працягваць	5	1	-1.30	4	1.30
колькасць	5	1	-1.30	4	1.30
пазадарожніка	5	2	-0.73	3	0.73
элемент	5	0	-2.26	5	2.26
брэндам	5	0	-2.26	5	2.26
здольны	5	0	-2.26	5	2.26
вады	5	0	-2.26	5	2.26
атамных	5	0	-2.26	5	2.26
запасах	5	0	-2.26	5	2.26
азначаць	5	0	-2.26	5	2.26
большае	5	0	-2.26	5	2.26
наступнага	5	0	-2.26	5	2.26
ротарны	5	0	-2.26	5	2.26
eqs	5	0	-2.26	5	2.26
седан	5	0	-2.26	5	2.26
цане	5	0	-2.26	5	2.26
гуманоіднага	5	0	-2.26	5	2.26
робата	5	0	-2.26	5	2.26
2022	5	0	-2.26	5	2.26
renault	5	0	-2.26	5	2.26
пачатковай	5	0	-2.26	5	2.26
190	5	0	-2.26	5	2.26
варыянт	5	0	-2.26	5	2.26
канкурэнтаў	5	0	-2.26	5	2.26
якасці	5	0	-2.26	5	2.26
pro	5	0	-2.26	5	2.26
citro	5	0	-2.26	5	2.26
n	5	0	-2.26	5	2.26
256	5	0	-2.26	5	2.26
air	5	0	-2.26	5	2.26
акумулятарнай	5	0	-2.26	5	2.26
lucid	5	0	-2.26	5	2.26
палярная	5	0	-2.26	5	2.26
зорка	5	0	-2.26	5	2.26
абнаўленню	5	0	-2.26	5	2.26
autos	4	4	0.76	0	-0.76
краінах	4	4	0.76	0	-0.76
вялікабрытаніі	4	3	0.42	1	0.42
асаблівасцямі	4	4	0.76	0	-0.76
ментальнасці	4	4	0.76	0	-0.76
функцыянаванне	4	4	0.76	0	-0.76
пражывання	4	4	0.76	0	-0.76
меншасцей	4	4	0.76	0	-0.76
польскія	4	4	0.76	0	-0.76
саюз	4	4	0.76	0	-0.76
гібрыдных	4	1	-0.94	3	0.94
311	4	1	-0.94	3	0.94
адносіцца	4	2	-0.50	2	0.50
здзяйсняць	4	2	-0.50	2	0.50
бяспекі	4	2	-0.50	2	0.50
ацэнка	4	4	0.76	0	-0.76
сумеснай	4	4	0.76	0	-0.76
адзначыць	4	3	0.42	1	0.42
незалежна	4	2	-0.50	2	0.50
самы	4	3	0.42	1	0.42
патрэбны	4	2	-0.50	2	0.50
сама	4	2	-0.50	2	0.50
першыя	4	4	0.76	0	-0.76
пазней	4	4	0.76	0	-0.76
пакуль	4	1	-0.94	3	0.94
прыкладна	4	2	-0.50	2	0.50
выніках	4	3	0.42	1	0.42
вырашыла	4	1	-0.94	3	0.94
частку	4	4	0.76	0	-0.76
прынялі	4	4	0.76	0	-0.76
спрабавала	4	4	0.76	0	-0.76
сарваць	4	4	0.76	0	-0.76
сябраў	4	4	0.76	0	-0.76
лігі	4	4	0.76	0	-0.76
удзельнікі	4	4	0.76	0	-0.76
неслі	4	4	0.76	0	-0.76
транспаранты	4	4	0.76	0	-0.76
надпісамі	4	4	0.76	0	-0.76
баварыя	4	4	0.76	0	-0.76
перарасце	4	4	0.76	0	-0.76
падляшша	4	4	0.76	0	-0.76
напярэдадні	4	4	0.76	0	-0.76
апошняга	4	4	0.76	0	-0.76
рэспублік	4	4	0.76	0	-0.76
украіны	4	1	-0.94	3	0.94
галоўная	4	3	0.42	1	0.42
працаваць	4	3	0.42	1	0.42
самастойнасці	4	4	0.76	0	-0.76
сцяг	4	4	0.76	0	-0.76
венгры	4	4	0.76	0	-0.76
часы	4	2	-0.50	2	0.50
атрымалі	4	2	-0.50	2	0.50
волі	4	3	0.42	1	0.42
прыняцця	4	4	0.76	0	-0.76
верасні	4	3	0.42	1	0.42
адміністрацыйная	4	4	0.76	0	-0.76
змяніць	4	2	-0.50	2	0.50
