sens 1	Іспанскі ўрад хоча забраць	аўтаномію	 ў Каталоніі Урад Іспаніі хоча часова пазбавіць аўтаноміі Каталонію, бо кіраўнік мясцовай адміністра
sens 1	Іспанскі ўрад хоча забраць аўтаномію ў Каталоніі Урад Іспаніі хоча часова пазбавіць	аўтаноміі	 Каталонію, бо кіраўнік мясцовай адміністрацыі Пучдэмон не адказаў на пытанне наконт абвяшчэння неза
sens 1	е скарыстацца 155-м артыкулам канстытуцыі. Гэты артыкул дазваляе Мадрыду часова пазбавіць Каталонію	аўтаноміі	 і распусціць рэгіянальную адміністрацыю. Гэта робіцца для аднаўлення прававога парадку ў Каталоніі,
sens 1	н паведаміў, што Каталонія абвесціць поўную незалежнасць, калі ўрад у Мадрыдзе пазбавіць яе статусу	аўтаноміі	. У афіцыйнай заяве Мадрыда, абнародаванай 19 кастрычніка, гаворыцца, што там прынялі да ведама "не"
