sens 1	Міністр адукацыі верыць у	аўтаномію	 Міністр адукацыі Сяргей Маскевіч настойвае: беларускія ўніверсітэты самастойныя. А калі дзесьці і н
sens 1	ага вопыту», хоць у балонскі працэс нас дагэтуль не пускаюць. «Беларускія ВНУ маюць высокую ступень	аўтаноміі	. Яны большую не просяць», — заявіў Сяргей Маскевіч пасля сустрэчы з прызёрамі міжнародных алімпіяд
sens 1	той жа спецыяльнасці дзейнічаюць розныя планы, і яны не стыкуюцца», — дадаў міністр. Сваё разуменне	аўтаноміі	 Маскевіч тлумачыў таксама ў лютым. Тады міністр адукацыі заявіў, што «Калі студэнты захочуць, за дз
sens 1	яць яшчэ ў траўні 2012 году. Прычына — адсутнасць у нашай краіне акадэмічнай свабоды, інстытуцыйнай	аўтаноміі	, студэнцкага ўдзелу ў кіраванні вышэйшай адукацыяй і парушэнні правоў студэнтаў. Аднак міністр адук
